movie_id,budget,revenue,unit,currency
101,1.0,12.5,Billions,INR
102,200.0,954.8,Millions,USD
103,165.0,644.8,Millions,$$
104,180.0,854.0,Millions,Dollars
105,250.0,670.0,Millions,USD
107,400.0,2000.0,Millions,INR
108,550.0,4000.0,Millions,INR
109,390.0,1360.0,Millions,INR
110,1.4,3.5,Billions,INR
111,25.0,73.3,Millions,USD
113,165.0,701.8,Millions,USD
114,205.0,365.3,Millions,USD
115,55.0,307.1,Millions,USD
116,103.0,460.5,Millions,USD
117,200.0,2202.0,Millions,USD
118,3.18,3.3,Millions,USD
119,237.0,2847.0,Millions,USD
120,7.2,291.0,Millions,USD
121,185.0,1006.0,Millions,USD
122,22.0,322.2,Millions,USD
123,63.0,1046.0,Millions,USD
124,15.5,263.1,Millions,USD
125,400.0,2798.0,Millions,USD
126,400.0,2048.0,Millions,USD
127,70000.0,100000.0,Thousands,INR
128,120.0,1350.0,Millions,INR
129,100.0,410.0,Millions,INR
130,850.0,8540.0,Millions,INR
131,1.0,5.9,Billions,INR
132,2.0,3.6,Billions,INR
133,5.5,12.0,Billions,INR
134,1.8,6.5,Billions,INR
135,250.0,3409.0,Millions,INR
136,900.0,11690.0,Millions,INR
137,216.7,370.6,Millions,USD
138,177.0,714.4,Millions,USD
139,1.8,3.1,Billions,INR
140,500.0,950.0,Millions,INR
406,30.0,350.0,Millions,INR
412,160.0,836.8,Millions,USD
