date,brand,sold_qty
9/1/2023,Nike,24
9/1/2023,Adidas,14
9/2/2023,Nike,21
9/2/2023,Adidas,12
9/3/2023,Nike,18
9/3/2023,Adidas,11
9/4/2023,Nike,22
9/4/2023,Adidas,13
9/5/2023,Nike,20
9/5/2023,Adidas,10
9/6/2023,Nike,23
9/6/2023,Adidas,15
9/7/2023,Nike,19
9/7/2023,Adidas,16
9/8/2023,Nike,17
9/8/2023,Adidas,8
9/9/2023,Nike,25
9/9/2023,Adidas,17
9/10/2023,Nike,14
9/10/2023,Adidas,7
9/11/2023,Nike,23
9/11/2023,Adidas,9
9/12/2023,Nike,19
9/12/2023,Adidas,689
9/13/2023,Nike,16
9/13/2023,Adidas,11
9/14/2023,Nike,22
9/14/2023,Adidas,13
9/15/2023,Nike,17
9/15/2023,Adidas,10
9/16/2023,Nike,21
9/16/2023,Adidas,14
9/17/2023,Nike,
9/17/2023,Adidas,8
9/18/2023,Nike,18
9/18/2023,Adidas,15
9/19/2023,Nike,15
9/19/2023,Adidas,7
9/20/2023,Nike,24
9/20/2023,Adidas,19
9/21/2023,Nike,24
9/21/2023,Adidas,18
9/22/2023,Nike,16
9/22/2023,Adidas,12
9/23/2023,Nike,20
9/23/2023,Adidas,11
9/24/2023,Nike,15
9/24/2023,Adidas,14
9/25/2023,Nike,
9/25/2023,Adidas,10
9/26/2023,Nike,19
9/26/2023,Adidas,9
9/27/2023,Nike,22
9/27/2023,Adidas,13
9/28/2023,Nike,21
9/28/2023,Adidas,15
9/29/2023,Nike,17
9/29/2023,Adidas,8
9/30/2023,Nike,18
9/30/2023,Adidas,16
